"LFQ.adj.iBAQ.BC_06.16"	"LFQ.adj.iBAQ.BC_14.16"	"LFQ.adj.iBAQ.BC_19.15"	"LFQ.adj.iBAQ.BC_21.16"	"LFQ.adj.iBAQ.BC_31.12"	"LFQ.adj.iBAQ.BC_38.14"	"LFQ.adj.iBAQ.BC_45.14"	"LFQ.adj.iBAQ.BC_46.15"	"LFQ.adj.iBAQ.BC_55.15"	"LFQ.adj.iBAQ.LC_06.16"	"LFQ.adj.iBAQ.LC_14.16"	"LFQ.adj.iBAQ.LC_19.15"	"LFQ.adj.iBAQ.LC_21.16"	"LFQ.adj.iBAQ.LC_31.12"	"LFQ.adj.iBAQ.LC_38.14"	"LFQ.adj.iBAQ.LC_45.14"	"LFQ.adj.iBAQ.LC_46.15"	"LFQ.adj.iBAQ.LC_49.15"	"LFQ.adj.iBAQ.LC_55.15"	"LFQ.adj.iBAQ.LP_06.16"	"LFQ.adj.iBAQ.LP_14.16"	"LFQ.adj.iBAQ.LP_19.15"	"LFQ.adj.iBAQ.LP_21.16"	"LFQ.adj.iBAQ.LP_31.12"	"LFQ.adj.iBAQ.LP_38.14"	"LFQ.adj.iBAQ.LP_45.14"	"LFQ.adj.iBAQ.LP_46.15"	"LFQ.adj.iBAQ.LP_49.15"	"LFQ.adj.iBAQ.LP_55.15"
"ABCC3"	0.561452101798208	6.50569678510319	20.101631145997	17.0061194843916	0.856836777224044	20.2625325586997	0.785266438806464	18.0533259327894	0.431456980294709	17.2867794400252	6.65885394470989	18.3307292324857	0.652976059820991	0.854776284980965	15.6578214741919	0.472110363472431	0.850088882895921	0.77220918153404	0.584322395292975	0.784884434463286	6.83432539958734	0.419006466185131	0.397280194174754	6.60141469052782	0.793319333098776	0.49933822135451	16.776584082807	0.409929643591217	16.7655585534339
"ABCD3"	25.0112386784341	23.6054550989739	24.9989351195313	24.4350948984656	20.6275779911834	24.9218133403798	23.0182998475127	24.8044314959309	24.9985930565065	27.8450695733101	26.5850162622185	26.8008728279233	26.6090823991319	27.184925773906	26.485737271105	26.9143252669464	27.06151501181	26.7686003257779	26.9983705916723	24.054467250672	25.7934247873034	24.2979133488678	24.1788673433013	25.5474574558599	23.6608294269409	24.262281071461	24.2613595068916	24.8047245961019	25.4230491674356
"ABCE1"	25.2415350703406	25.3584409325385	24.9907095142633	25.4077557329266	24.8148380716463	25.400585542793	25.4199044151639	25.4762180803733	26.1150512397176	26.0487834103096	25.3059383509858	25.3681508312204	25.4214734107493	25.448641395646	25.7889971600114	25.0726063512917	26.1252309728066	25.7627731889251	25.6175706129671	26.588402027472	26.3746968036194	26.4676621151444	26.359138119998	26.1674099555573	26.2363885698254	26.3588018286613	26.6730037192992	26.2637748827632	26.2786206700761
"ABCF1"	25.3725027812431	25.1343726697583	25.6736964899968	25.7828147205982	24.8688854727605	25.3781120006354	25.4860565207662	25.1397013393158	25.7058067605379	25.6262098684838	25.7583969303515	25.8040557102574	25.7286570032739	25.29175196798	25.3358601595935	25.2951246220663	25.4083481197379	25.2027342827263	25.6741711903019	26.1629834798923	25.8451471804144	26.0996912140417	26.0868118870415	25.7126738465462	25.9356347738499	25.6916591954138	25.9288276781529	25.6855474381904	25.8574897360724
"ABCF2"	23.8512034474399	23.1258130727419	24.5959544674107	24.2090638780109	23.1288498426858	23.6578222745208	23.8288090237644	23.9764317203569	24.341124680984	23.8176102988305	23.5837289464999	23.4949022566789	23.5546416721526	23.4222917523108	23.2978144486499	23.4727999876147	23.5184641091133	22.8548494629669	23.8142359558062	23.6578222745208	23.8628159023259	24.1528686881433	23.8293669866334	24.3020407034558	23.3270282927316	23.8417059507969	23.2902760650139	23.841041308874	23.6074766450767
"ABCF3"	23.4797655619029	24.3900059582846	23.8411868089955	24.1255337245807	23.6447146664525	24.0400023126567	24.1007160857509	23.499584385996	24.5523706288679	24.1774553551818	24.4889410401615	24.0945378421378	24.3935957830824	24.2076001646158	24.2886853059165	24.0442095895386	24.2964732448936	24.0392694460321	24.583177355178	24.0516814619654	24.2865830652992	24.0419244352916	24.149193942995	23.7471536533748	24.272912798888	24.5724120969431	24.272912798888	24.1633041092982	24.6626126286545
"ABHD10"	25.6847532716482	26.7757934166172	26.2170229871268	25.711737455746	25.9924722563091	26.2162344523766	26.1511807849189	26.4296522734202	26.0543197797444	26.3913001032688	26.9856669926072	26.5910515699988	26.4867100914441	26.5896899612867	26.2779018408849	26.4903633767772	26.5710491424125	26.8468010289722	26.7847442370114	27.7020674400852	26.2122133537911	27.0478933303709	26.9393016323337	26.64035962762	27.1092040744953	27.0328419166461	26.8817741711145	26.8367031060141	27.0673736702896
"ABHD11"	23.3268724998904	25.6222098124328	23.1994211509065	23.5737706386927	23.2489174683891	23.1745831090675	22.1896391071892	22.7920114099002	23.7974137263981	26.7027344705661	25.9364907537012	26.924028985456	26.4752217384459	26.5625509930161	26.6308438326228	26.6832487521452	26.2815483925203	26.2457193326814	26.8701745871251	27.9328574100813	26.0172188517426	28.101975432141	27.7881770012205	26.7972172924777	27.5608550046089	27.1493661111511	27.2167143039015	27.1541158627244	27.6693144491016
"ABHD12"	21.6772228097002	22.0382416094267	22.5711759014483	21.9750754247852	22.3396622692385	22.5391710087487	21.1025550373606	21.4083759744006	21.5659646930959	23.5415815258606	23.2772212953622	23.4698671906801	22.9573011639739	22.9861803805195	23.3724043266187	23.8894140868984	22.5212632242291	23.642912874388	23.7447252074167	22.5108079376235	22.3358570777412	22.3992884491482	22.2998242046806	22.9857467617946	23.3194382434465	22.6120344461525	21.5752495559611	22.9523501229145	23.2513063549892
"ABHD14B"	27.2715630004238	27.5178894930066	26.9998159683344	28.5967508084514	27.3681476735687	27.1787458802229	27.6382971934663	27.3795201364681	27.7076379687836	28.1757250844129	28.4766296281938	28.1086458579551	29.3640978690652	28.5613781674576	27.5042521545021	28.5400219067005	28.0333539983318	28.4738480545342	28.417617992546	28.5162353988763	28.4540519062529	27.6907285439444	28.4464480914408	28.2066119970245	28.194685495626	28.5696633088664	28.6021590697728	28.0153032093882	28.4102377007377
"ABHD16A"	23.0220647883247	22.0230679702671	22.9955805135241	23.2306240041461	20.7206882210547	23.4718391564446	21.5358685014324	23.3107065698777	22.7741031369267	24.2003865691018	23.6713454341194	23.434658384996	23.298038750358	23.7493453329982	23.6297679313423	24.6062752747623	23.5678369949318	23.9765989603525	23.8080742230666	23.3894911956344	23.8687278060069	23.2824458062155	23.2172415400025	23.9512885621267	23.4515232808172	22.9463581890964	23.1145282744068	23.4101939460428	23.568848694942
"ABHD17B"	21.033549320865	6.95775871769458	19.3400344217901	20.0491567106532	0.474793640555571	20.214642162192	0.434307649114899	0.479035441100969	21.2588776476499	0.00484214822476936	21.5354413428764	20.8586121907023	21.1195449478684	19.7266394732766	20.5769063087475	19.9015416883756	20.6692466163163	0.242968190472165	20.6044145308035	0.199088884608862	22.2564066654497	20.8900097367571	21.3264763608165	6.94363443546659	20.8762998511333	20.7980953991419	0.453243939168985	0.407195415184411	20.7650639680937
"ABHD5"	18.9777919471152	13.3757288804301	23.6935933825389	18.8019695235497	16.3870968502863	20.074366326858	19.4899034265121	18.7296159496957	18.7110997252947	20.6352103665338	21.5099161778625	20.9867709675067	20.4033057421925	19.6181095788953	20.239002680372	20.9182392085969	22.0852298305628	20.5250908161457	20.8568571843124	21.1742992226761	22.8133901537338	22.7280117842581	22.360547611239	22.4832567326594	20.2963708568728	22.9954742117688	22.7353456315468	20.5604086568387	20.7894475917726
